MarketID,ProductID,PlatformID,ShopID,Price,Quantity,ReviewCount,StarRating,Storage,CrawlDate
MK332,P002,PL02,S015,28900000,0,0,0.0,512GB,2024-03-23
MK333,P002,PL02,S015,28900000,0,0,0.0,512GB,2024-03-30
MK334,P002,PL02,S015,28900000,0,0,0.0,512GB,2024-04-07
MK335,P002,PL02,S015,28900000,0,0,0.0,512GB,2024-04-17
MK336,P002,PL02,S016,30000000,0,0,0.0,256GB,2024-01-27
MK337,P002,PL02,S016,30000000,0,0,0.0,256GB,2024-02-21
MK338,P002,PL02,S016,30000000,0,0,0.0,256GB,2024-03-08
MK339,P002,PL02,S016,30000000,0,0,0.0,256GB,2024-03-23
MK340,P002,PL02,S016,30000000,0,0,0.0,256GB,2024-03-30
MK341,P002,PL02,S016,30000000,0,0,0.0,256GB,2024-04-07
MK342,P002,PL02,S016,30000000,0,0,0.0,256GB,2024-04-17
MK343,P002,PL02,S002,22800000,246,71,4.9,256GB,2024-01-27
MK344,P002,PL02,S002,22800000,246,71,4.9,256GB,2024-02-04
MK345,P002,PL02,S002,22800000,246,71,4.9,256GB,2024-02-11
MK346,P002,PL02,S002,22800000,246,71,4.9,256GB,2024-02-21
MK347,P002,PL02,S002,22800000,246,71,4.9,256GB,2024-03-08
MK348,P002,PL02,S002,22800000,246,71,4.9,256GB,2024-03-23
MK349,P002,PL02,S002,22800000,246,71,4.9,256GB,2024-03-30
MK350,P002,PL02,S002,22800000,246,71,4.9,256GB,2024-04-07
MK351,P002,PL02,S002,22800000,246,71,4.9,256GB,2024-04-17
MK352,P002,PL02,S016,42291000,0,0,0.0,1TB,2024-01-27
MK353,P002,PL02,S016,42291000,0,0,0.0,1TB,2024-02-11
MK354,P002,PL02,S016,42291000,0,0,0.0,1TB,2024-02-21
MK355,P002,PL02,S016,42291000,0,0,0.0,1TB,2024-03-08
MK356,P002,PL02,S016,42291000,0,0,0.0,1TB,2024-03-23
MK357,P002,PL02,S016,42291000,0,0,0.0,1TB,2024-03-30
MK358,P002,PL02,S016,42291000,0,0,0.0,1TB,2024-04-07
MK359,P002,PL02,S016,42291000,0,0,0.0,1TB,2024-04-17
MK360,P002,PL02,S016,30000000,0,0,0.0,256GB,2024-01-27
MK361,P002,PL02,S016,30000000,0,0,0.0,256GB,2024-02-21
MK362,P002,PL02,S016,30000000,0,0,0.0,256GB,2024-03-08
MK363,P002,PL02,S016,30000000,0,0,0.0,256GB,2024-03-23
MK364,P002,PL02,S016,30000000,0,0,0.0,256GB,2024-03-30
MK365,P002,PL02,S016,30000000,0,0,0.0,256GB,2024-04-07
MK366,P002,PL02,S016,30000000,0,0,0.0,256GB,2024-04-17
MK367,P002,PL02,S016,34000000,0,0,0.0,512GB,2024-01-27
MK368,P002,PL02,S016,34000000,0,0,0.0,512GB,2024-02-21
